icd_10_code,diagnosis_name
S13120,"Magnetic Resonance Imaging (MRI) of Right Breast using Other Contrast, Unenhanced and Enhanced"
M05561,"Detachment at Right Index Finger, High, Open Approach"
S62669S,"Extirpation of Matter from Left Ventricle, Open Approach"
S93602A,Change Bandage on Right Lower Arm
T563X4S,"Removal of Autologous Tissue Substitute from Trachea, Percutaneous Endoscopic Approach"
V856XXS,"Monitoring of Products of Conception, Cardiac Electrical Activity, Via Natural or Artificial Opening"
H401193,"Control Bleeding in Abdominal Wall, Percutaneous Approach"
O4101X9,"Extirpation of Matter from Left Popliteal Artery, Open Approach"
P2481,"Supplement Right Metacarpophalangeal Joint with Autologous Tissue Substitute, Percutaneous Approach"
V717,"Bypass Left Common Iliac Artery to Left Femoral Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
X79,"Supplement Urethra with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
S20329,"Replacement of Hepatic Vein with Synthetic Substitute, Open Approach"
T23159A,"Repair Right Subclavian Artery, Percutaneous Endoscopic Approach"
S62116D,Therapeutic Exercise Treatment of Respiratory System - Upper Back / Upper Extremity using Prosthesis
T286XXD,"Extracorporeal Therapies, Physiological Systems, Electromagnetic Therapy"
Y36330,"Motor Function Treatment of Neurological System - Head and Neck using Assistive, Adaptive, Supportive or Protective Equipment"
S12290S,"Reposition Jejunum, Via Natural or Artificial Opening"
S049XXA,"Drainage of Bilateral Fallopian Tubes, Percutaneous Approach, Diagnostic"
I6031,"Extraction of Products of Conception, Retained, Via Natural or Artificial Opening"
H110,"Revision of Synthetic Substitute in Lumbar Vertebral Joint, External Approach"
S82036M,"Removal of Synthetic Substitute from Right Hip Joint, Femoral Surface, Open Approach"
M80021S,"Introduction of Intracirculatory Anesthetic into Peripheral Artery, Open Approach"
S31133,"Revision of Synthetic Substitute in Mediastinum, Percutaneous Approach"
S06320,"Removal of Internal Fixation Device from Left Humeral Shaft, Open Approach"
S31803D,"Release Right Carpal Joint, Percutaneous Endoscopic Approach"
I272,"Restriction of Right Cephalic Vein with Intraluminal Device, Percutaneous Endoscopic Approach"
S62155,"Release Left External Iliac Artery, Percutaneous Endoscopic Approach"
T80419S,"Revision of Autologous Tissue Substitute in Left Eye, Via Natural or Artificial Opening Endoscopic"
T65822S,"Excision of Right Internal Mammary Artery, Open Approach, Diagnostic"
A31,"Supplement Right Common Iliac Vein with Autologous Tissue Substitute, Open Approach"
F12959,"Destruction of Right Ethmoid Bone, Percutaneous Endoscopic Approach"
S92156B,Tomographic (Tomo) Nuclear Medicine Imaging of Abdomen and Pelvis using Fluorine 18 (F-18)
S41142A,"Dilation of Right Colic Artery, Percutaneous Approach"
S9032XS,Immobilization of Face using Wire
S82114F,"Replacement of Right Sphenoid Bone with Autologous Tissue Substitute, Percutaneous Approach"
S82421Q,"Excision of Peritoneum, Percutaneous Endoscopic Approach"
S83145,"Revision of Synthetic Substitute in Right Acromioclavicular Joint, Open Approach"
M2542,"Revision of Internal Fixation Device in Right Radius, Percutaneous Endoscopic Approach"
S52561E,"Division of Tibial Nerve, Percutaneous Approach"
S43003,"Reattachment of Left Hand Bursa and Ligament, Percutaneous Endoscopic Approach"
S80859A,"Extirpation of Matter from Left Fibula, Percutaneous Approach"
T461X4S,"Dilation of Inferior Mesenteric Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach"
T381X1A,"Revision of Drainage Device in Vagina and Cul-de-sac, External Approach"
M25241,"Introduction of Vasopressor into Central Vein, Percutaneous Approach"
S66310,"Excision of Left Upper Arm Subcutaneous Tissue and Fascia, Open Approach, Diagnostic"
D122,"Bypass Jejunum to Anus with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic"
S92062P,"Bypass Right Ventricle to Left Pulmonary Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
Y36451A,"Destruction of Left Cephalic Vein, Open Approach"
S23130A,"Supplement Right Pulmonary Artery with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
S89019P,"Drainage of Right Lower Femur, Percutaneous Approach"
O360923,"Transfer Left Hand Subcutaneous Tissue and Fascia with Skin and Subcutaneous Tissue, Open Approach"
M89679,Fluoroscopy of Left Pelvic (Iliac) Veins using Low Osmolar Contrast
O3430,Low Dose Rate (LDR) Brachytherapy of Trachea using Palladium 103 (Pd-103)
T6094XD,"Bypass Left Internal Jugular Vein to Upper Vein with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
C4361,"Dilation of Superior Mesenteric Artery with Intraluminal Device, Percutaneous Endoscopic Approach"
S65598D,"Excision of Left Internal Mammary Lymphatic, Percutaneous Endoscopic Approach"
H31,"Removal of Drainage Device from Nasal Bone, External Approach"
M23671,"Restriction of Abdominal Aorta, Bifurcation, with Intraluminal Device, Percutaneous Approach"
S42124,"Inspection of Male Perineum, Open Approach"
S31640S,"Extirpation of Matter from Right Temporal Artery, Bifurcation, Percutaneous Endoscopic Approach"
M84550S,"Release Abdomen Skin, External Approach"
S15001D,"Drainage of Left Sphenoid Bone with Drainage Device, Open Approach"
K210,"Excision of Left Basilic Vein, Percutaneous Approach, Diagnostic"
Z13820,"Insertion of Infusion Device into Thoracic Aorta, Descending, Percutaneous Endoscopic Approach"
S32041G,Beam Radiation of Urethra using Electrons
S72456B,"Dilation of Azygos Vein, Open Approach"
S66124A,Contact Radiation of Ovary
S52101P,"Replacement of Left Lacrimal Duct with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic"
V0491,"Division of Left Carpal, Percutaneous Endoscopic Approach"
W504XXD,"Bypass Left Kidney Pelvis to Colon with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
S63610A,Ultrasonography of Penis
T7809,"Destruction of Left Shoulder Joint, Percutaneous Endoscopic Approach"
E272,"Removal of Autologous Tissue Substitute from Left Glenoid Cavity, Open Approach"
S82116Q,"Restriction of Right Posterior Tibial Artery, Percutaneous Endoscopic Approach"
H7301,"Dilation of Superior Mesenteric Artery with Four or More Intraluminal Devices, Open Approach"
T3351,"Reposition Right Elbow Joint, External Approach"
S31824S,"Repair Right Internal Mammary Lymphatic, Percutaneous Endoscopic Approach"
S83141,"Revision of Autologous Tissue Substitute in Left Ear, Via Natural or Artificial Opening"
J043,"Insertion of Intraluminal Device into Thoracic Aorta, Ascending/Arch, Percutaneous Endoscopic Approach"
O267,"Occlusion of Left Axillary Artery with Extraluminal Device, Percutaneous Endoscopic Approach"
S60450D,"Excision of Left Upper Leg Skin, External Approach"
S52692F,"Bypass Left Internal Iliac Artery to Lower Extremity Artery with Nonautologous Tissue Substitute, Open Approach"
S9519,Removal of Intermittent Pressure Device on Left Hand
C8304,"Abortion of Products of Conception, Percutaneous Endoscopic Approach"
S52521D,"Dilation of Coronary Artery, Two Arteries with Intraluminal Device, Percutaneous Approach"
S22079S,"Control Bleeding in Respiratory Tract, Percutaneous Approach"
S92012G,"Dilation of Right Main Bronchus with Intraluminal Device, Percutaneous Endoscopic Approach"
S60412A,"Inspection of Right Shoulder Region, Percutaneous Approach"
S72092S,"Replacement of Right Radial Artery with Nonautologous Tissue Substitute, Open Approach"
E133532,"Revision of Synthetic Substitute in Lower Intestinal Tract, Open Approach"
M6210,"Bypass Portal Vein to Left Renal Vein, Open Approach"
S62624A,"Revision of External Fixation Device in Right Metatarsal, External Approach"
S66113S,"Drainage of Abdomen Skin, External Approach"
T543X1A,"Division of Head and Neck Bursa and Ligament, Open Approach"
S82153N,"Removal of Drainage Device from Right Metacarpocarpal Joint, Percutaneous Approach"
T23421,"Drainage of Right Toe Phalanx with Drainage Device, Percutaneous Endoscopic Approach"
V00821D,"Removal of Infusion Device from Right Carpal Joint, External Approach"
S72099H,"Replacement of Right Foot Subcutaneous Tissue and Fascia with Autologous Tissue Substitute, Open Approach"
M1313,"Resection of Stomach, Pylorus, Via Natural or Artificial Opening"
V363XXD,"Revision of Internal Fixation Device in Sternum, External Approach"
S12351G,"Assistance with Respiratory Ventilation, 24-96 Consecutive Hours, Intermittent Negative Airway Pressure"
S45392A,"Occlusion of Right Uterine Artery with Intraluminal Device, Open Approach"
S40812A,"Removal of Internal Fixation Device from Left Acromioclavicular Joint, Percutaneous Approach"
S86191D,"Drainage of Urethra, Via Natural or Artificial Opening Endoscopic, Diagnostic"
K8510,"Imaging, Ear, Nose, Mouth and Throat, Magnetic Resonance Imaging (MRI)"
S9910,"Extirpation of Matter from Left Eustachian Tube, Open Approach"
W2109XD,"Restriction of Left Axillary Artery with Intraluminal Device, Percutaneous Endoscopic Approach"
S72499B,Hyperthermia of Nasopharynx
S72309B,"Fluoroscopy of Left Lower Extremity Veins, Guidance"
S76992,"Excision of Left Sclera, External Approach"
S42361S,"Repair Bilateral Femoral Region, Percutaneous Approach"
S63420A,"Drainage of Left Hand Artery, Open Approach"
T65294A,"Destruction of Right Trunk Tendon, Percutaneous Endoscopic Approach"
S42002B,"Destruction of Right Vas Deferens, Percutaneous Approach"
M601,"Drainage of Right Shoulder Muscle, Open Approach"
F19222,"Supplement Left Toe Phalanx with Synthetic Substitute, Percutaneous Approach"
H04201,"Extirpation of Matter from Right Lacrimal Duct, Via Natural or Artificial Opening"
S42354D,"Occlusion of Azygos Vein, Percutaneous Approach"
T391X5,"Supplement of Right Upper Arm Subcutaneous Tissue and Fascia with Nonautologous Tissue Substitute, Percutaneous Approach"
T22711,Plain Radiography of Right Ureter using Low Osmolar Contrast
S21412S,"Individual Psychotherapy, Supportive"
S12200B,"Revision of Autologous Tissue Substitute in Sacrum, Percutaneous Approach"
V00141D,"Excision of Bilateral Spermatic Cords, Percutaneous Approach, Diagnostic"
S62663G,"Dilation of Left Axillary Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Approach"
S06338,"Restriction of Trachea with Intraluminal Device, Percutaneous Endoscopic Approach"
C717,"Drainage of Left Frontal Sinus, Percutaneous Endoscopic Approach"
T460X5S,"Dilation of Left Posterior Tibial Artery with Four or More Drug-eluting Intraluminal Devices, Open Approach"
I6906,"Insertion of External Fixation Device into Left Metacarpal, Percutaneous Endoscopic Approach"
S62662K,Voice Assessment using Computer
W21211D,"Occlusion of Right Ureter, Percutaneous Approach"
S72309K,"Dilation of Coronary Artery, One Artery with Intraluminal Device, Open Approach"
S63399S,"Dilation of Hymen, External Approach"
H11429,"Revision of Drainage Device in Diaphragm, Percutaneous Endoscopic Approach"
I83211,"Dilation of Upper Artery with Three Intraluminal Devices, Open Approach"
J0411,"Resection of Right Main Bronchus, Open Approach"
K56,"Drainage of Right Testis with Drainage Device, Open Approach"
Z8776,"Extirpation of Matter from Left Renal Artery, Bifurcation, Percutaneous Endoscopic Approach"
K5649,Beam Radiation of Adrenal Glands using Photons <1 MeV
S66393D,"Upper Veins, Excision"
S37432,"Dilation of Left Anterior Tibial Artery, Open Approach"
S39093D,"Restriction of Right Face Vein with Extraluminal Device, Percutaneous Approach"
S82263S,"Removal of Infusion Device from Right Sternoclavicular Joint, Percutaneous Endoscopic Approach"
I70229,"Drainage of Left Breast with Drainage Device, Percutaneous Approach"
S62393G,Computerized Tomography (CT Scan) of Left Elbow
S61551S,Low Dose Rate (LDR) Brachytherapy of Prostate using Cesium 137 (Cs-137)
M25076,"Drainage of Right Common Iliac Vein, Percutaneous Endoscopic Approach"
H40249,"Removal of Synthetic Substitute from Larynx, External Approach"
S45199D,"Reposition Right Metacarpophalangeal Joint with Internal Fixation Device, Percutaneous Approach"
Y218XXS,"Bypass Left External Iliac Artery to Bilateral Internal Iliac Arteries with Synthetic Substitute, Percutaneous Endoscopic Approach"
T59813S,"Transfusion of Nonautologous White Cells into Peripheral Vein, Open Approach"
S59202A,"Drainage of Left Foot Tendon, Percutaneous Endoscopic Approach"
E103511,"Replacement of Right Pelvic Bone with Synthetic Substitute, Open Approach"
W450XXS,"Reattachment of Left Upper Extremity Bursa and Ligament, Percutaneous Endoscopic Approach"
P07,"Removal of Autologous Tissue Substitute from Neck, External Approach"
S48121A,High Dose Rate (HDR) Brachytherapy of Salivary Glands using Iridium 192 (Ir-192)
S60869A,"Extirpation of Matter from Left Anterior Chamber, Percutaneous Approach"
M868X3,"Excision of Left Clavicle, Open Approach"
S62291G,Caregiver Training in Communication Skills
T2240XA,"Dilation of Lower Artery, Bifurcation, with Four or More Intraluminal Devices, Open Approach"
S728X2S,"Replacement of Lower Tooth, Multiple, with Autologous Tissue Substitute, External Approach"
S83101,"Insertion of Internal Fixation Device into Left Tibia, Percutaneous Approach"
K51419,"Removal of Drainage Device from Right Hip Joint, Percutaneous Endoscopic Approach"
S72043F,"Extirpation of Matter from Superior Mesenteric Vein, Percutaneous Endoscopic Approach"
S4991XD,"Bypass Left Atrium to Right Pulmonary Artery, Percutaneous Endoscopic Approach"
G00,"Destruction of Right Subclavian Artery, Percutaneous Endoscopic Approach"
S45019,"Excision of Left Clavicle, Open Approach"
S61353S,"Revision of Other Device in Mediastinum, Open Approach"
T22549D,"Excision of Right Hand Bursa and Ligament, Percutaneous Approach, Diagnostic"
T2147XD,"Excision of Soft Palate, Percutaneous Approach"
V9336XS,"Bypass Left Ureter to Cutaneous with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
M263,Low Dose Rate (LDR) Brachytherapy of Cervix using Other Isotope
S83221,"Restriction of Right Common Carotid Artery, Percutaneous Approach"
O45022,Fluoroscopy of Left Pulmonary Artery using Other Contrast
M90662,"Excision of Descending Colon, Percutaneous Endoscopic Approach"
S92225P,"Drainage of Right External Jugular Vein, Open Approach"
A5206,"Revision of Other Device in Mediastinum, External Approach"
T535X1,"Drainage of Cervical Nerve, Percutaneous Endoscopic Approach, Diagnostic"
S5642,"Bypass Right Femoral Artery to Right Femoral Artery with Nonautologous Tissue Substitute, Open Approach"
J705,"Removal of Autologous Tissue Substitute from Lower Back, External Approach"
V9116,"Excision of Pituitary Gland, Percutaneous Approach, Diagnostic"
S42112S,"Destruction of Pituitary Gland, Percutaneous Approach"
S63698D,"Fluoroscopy of Left Renal Vein using Low Osmolar Contrast, Guidance"
T63324D,"Supplement Superior Mesenteric Vein with Synthetic Substitute, Open Approach"
R2981,Coordination/Dexterity Treatment of Musculoskeletal System - Lower Back / Lower Extremity using Prosthesis
S92202K,"Drainage of Lumbosacral Plexus with Drainage Device, Percutaneous Endoscopic Approach"
S72453H,"Supplement Left Iris with Nonautologous Tissue Substitute, Open Approach"
S82855G,"Drainage of Nasal Turbinate, Via Natural or Artificial Opening"
M508,"Dilation of Left Femoral Artery, Bifurcation, with Drug-eluting Intraluminal Device, Open Approach"
S2090XS,"Dilation of Ascending Colon, Via Natural or Artificial Opening Endoscopic"
S66317S,"Occlusion of Right Internal Mammary Artery with Intraluminal Device, Percutaneous Endoscopic Approach"
S46291A,"Dilation of Coronary Artery, One Artery with Three Intraluminal Devices, Percutaneous Endoscopic Approach"
H2152,"Dilation of Right Fallopian Tube with Intraluminal Device, Percutaneous Endoscopic Approach"
Z8379,"Resection of Left Epididymis, Percutaneous Endoscopic Approach"
S7221XM,"Dilation of Coronary Artery, Two Arteries with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach"
L981,"Replacement of Right External Carotid Artery with Nonautologous Tissue Substitute, Open Approach"
R29706,"Replacement of Right External Iliac Vein with Synthetic Substitute, Percutaneous Endoscopic Approach"
X05XXXA,"Supplement Right Metatarsal-Phalangeal Joint with Autologous Tissue Substitute, Percutaneous Approach"
Q777,"Excision of Jejunum, Percutaneous Approach, Diagnostic"
W891XXD,"Restriction of Middle Colic Artery with Extraluminal Device, Percutaneous Approach"
S68612D,"Excision of Thoracolumbar Vertebral Disc, Open Approach"
Q269,"Removal of Nonautologous Tissue Substitute from Sacrococcygeal Joint, Percutaneous Endoscopic Approach"
T22521S,Plain Radiography of Other Intra-Abdominal Arteries using Low Osmolar Contrast
I824Z9,"Removal of Radioactive Element from Respiratory Tract, Percutaneous Endoscopic Approach"
H938X1,"Destruction of Upper Lip, External Approach"
O360,"Excision of Cerebral Meninges, Open Approach"
S90852D,"Removal of Infusion Device from Bladder, Via Natural or Artificial Opening"
S8264XM,"Destruction of Right Knee Bursa and Ligament, Open Approach"
S43001D,"Radiation Therapy, Central and Peripheral Nervous System, Other Radiation"
Z6289,"Extirpation of Matter from Bilateral Adrenal Glands, Open Approach"
S72142M,"Drainage of Right Lesser Saphenous Vein, Percutaneous Endoscopic Approach"
M05649,"Reposition Left Metacarpocarpal Joint with External Fixation Device, External Approach"
S62009K,Range of Motion and Joint Integrity Assessment of Integumentary System - Upper Back / Upper Extremity
T5693XS,"Excision of Femoral Nerve, Percutaneous Approach, Diagnostic"
L97811,"Excision of Right Hypogastric Vein, Percutaneous Approach, Diagnostic"
S3282XK,"Replacement of Right External Iliac Vein with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
S62617G,"Repair Right Lower Lung Lobe, Percutaneous Approach"
S60862S,"Extirpation of Matter from Pancreatic Duct, Percutaneous Endoscopic Approach"
Z3759,"Supplement Thoracolumbar Vertebral Joint with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
O361911,"Fusion of Occipital-cervical Joint with Synthetic Substitute, Posterior Approach, Posterior Column, Percutaneous Endoscopic Approach"
V0101,"Bypass Right Hepatic Duct to Right Hepatic Duct with Intraluminal Device, Open Approach"
H35462,"Repair Coccygeal Joint, Percutaneous Approach"
C45,"Drainage of Left Temporomandibular Joint with Drainage Device, Percutaneous Endoscopic Approach"
S32021D,"Extirpation of Matter from Cervical Nerve, Percutaneous Endoscopic Approach"
T534X2A,"Supplement Right Radius with Synthetic Substitute, Open Approach"
S22069S,Plain Radiography of Right Elbow using Low Osmolar Contrast
X832XXS,"Dilation of Intracranial Artery with Intraluminal Device, Percutaneous Endoscopic Approach"
S52614N,"Occlusion of Left Upper Lobe Bronchus with Intraluminal Device, Via Natural or Artificial Opening"
I82220,"Dilation of Left Axillary Artery, Bifurcation, with Two Intraluminal Devices, Open Approach"
T50Z9,"Inspection of Lower Tendon, Percutaneous Approach"
V172,Plain Radiography of Multiple Coronary Artery Bypass Grafts using Other Contrast
S229XXS,"Drainage of Left Foot Bursa and Ligament with Drainage Device, Percutaneous Endoscopic Approach"
T23601S,"Dilation of Left Foot Artery, Bifurcation, with Four or More Intraluminal Devices, Open Approach"
R250,"Insertion of Infusion Device into Left Upper Arm, Percutaneous Approach"
M300,"Dilation of Right Internal Mammary Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Open Approach"
M89153,"Supplement Splenic Vein with Autologous Tissue Substitute, Open Approach"
S62122G,"Removal of Drainage Device from Upper Back, Percutaneous Endoscopic Approach"
Z91410,"Resection of Right Kidney, Percutaneous Endoscopic Approach"
E2749,Change Pressure Dressing on Right Upper Extremity
M10042,"Release Left Diaphragm, Percutaneous Approach"
S99201G,"Reposition Right Metacarpocarpal Joint with Internal Fixation Device, External Approach"
X929XXD,"Destruction of Left Pulmonary Artery, Open Approach"
H3403,Beam Radiation of Inguinal Lymphatics using Photons 1 - 10 MeV
T650X3,Fluoroscopy of Bilateral Pelvic (Iliac) Veins using High Osmolar Contrast
S60462A,Beam Radiation of Hemibody using Neutron Capture
V8612XA,"Removal of Internal Fixation Device from Right Ulna, External Approach"
S86001S,Therapeutic Exercise Treatment of Neurological System - Head and Neck using Other Equipment
M0209,"Revision of Nonautologous Tissue Substitute in Right Metacarpal, Percutaneous Approach"
R40242,"Reattachment of Left Hand Muscle, Percutaneous Endoscopic Approach"
S62620P,"Dilation of Abdominal Aorta, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach"
S82454K,"Supplement Duodenum with Autologous Tissue Substitute, Open Approach"
S82252K,"Fragmentation in Pancreatic Duct, External Approach"
P836,"Drainage of Tibial Nerve with Drainage Device, Percutaneous Approach"
M2060,"Removal of Synthetic Substitute from Mediastinum, Open Approach"
S11013S,"Restriction of Lingula Bronchus, Open Approach"
E77,"Insertion of Infusion Device into Left Renal Artery, Percutaneous Endoscopic Approach"
T22532S,"Restriction of Right Subclavian Artery with Intraluminal Device, Open Approach"
T82530S,"Bypass Left Ureter to Colon with Synthetic Substitute, Open Approach"
Q510,"Bypass Right Common Iliac Artery to Bilateral External Iliac Arteries with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
W172XXD,"Revision of Internal Fixation Device in Right Pelvic Bone, External Approach"
S92353K,"Destruction of Left Hand Artery, Open Approach"
S0104XS,"Reposition Skull, External Approach"
S01152A,"Drainage of Left Superior Parathyroid Gland, Percutaneous Endoscopic Approach"
S56202D,"Bypass Coronary Artery, Two Arteries from Right Internal Mammary, Percutaneous Endoscopic Approach"
T34529A,"Insertion of External Fixation Device into Right Metacarpal, Percutaneous Approach"
M60019,"Excision of Papillary Muscle, Percutaneous Approach, Diagnostic"
S72002A,"Transfusion of Nonautologous Fibrinogen into Peripheral Vein, Open Approach"
H40821,"Monitoring of Venous Pressure, Central, Open Approach"
Z865,"Revision of Spacer in Left Shoulder Joint, Open Approach"
S6390XS,"Insertion of Other Device into Left Pleural Cavity, Percutaneous Approach"
W880,"Reposition Left Tarsal with Internal Fixation Device, Percutaneous Approach"
S329,"Removal of Nonautologous Tissue Substitute from Cervical Vertebral Disc, Percutaneous Approach"
S89229,"Removal of Radioactive Element from Respiratory Tract, Open Approach"
S42014G,"Bypass Right Subclavian Artery to Left Extracranial Artery with Autologous Venous Tissue, Open Approach"
S86219,"Reposition Right Humeral Head with Monoplanar External Fixation Device, Percutaneous Approach"
S79192,"Revision of Drainage Device in Mesentery, Percutaneous Approach"
O23592,"Replacement of Right Hip Joint, Acetabular Surface with Synthetic Substitute, Cemented, Open Approach"
S41049D,"Extirpation of Matter from Left Zygomatic Bone, Open Approach"
S52136B,"Excision of Mesentery, Percutaneous Approach"
S62333B,"Revision of Intraluminal Device in Lower Vein, Percutaneous Endoscopic Approach"
S62601G,"Repair Right Middle Ear, Open Approach"
M7090,"Bypass Left Vas Deferens to Right Epididymis, Open Approach"
S88012D,"Revision of Extraluminal Device in Bladder, Open Approach"
S42145S,"Destruction of Penis, Open Approach"
S82435B,"Removal of Synthetic Substitute from Left Lens, Percutaneous Approach"
S89211S,"Excision of Right Patella, Percutaneous Approach, Diagnostic"
Z8541,Planar Nuclear Medicine Imaging of Bilateral Upper Extremity Veins using Technetium 99m (Tc-99m)
V9113XS,"Removal of Drainage Device from Left Ear, Open Approach"
N478,"Excision of Right Finger Phalangeal Joint, Percutaneous Approach"
B45,"Bypass Jejunum to Anus with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
M172,"Dilation of Right Temporal Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Endoscopic Approach"
T8584,"Revision of Drainage Device in Left Finger Phalangeal Joint, Open Approach"
H4042X0,"Excision of Right Clavicle, Open Approach, Diagnostic"
M66349,"Restriction of Thorax Lymphatic, Percutaneous Approach"
H16139,"Bypass Left Common Iliac Artery to Right Common Iliac Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
H47299,"Bypass Common Bile Duct to Common Bile Duct, Percutaneous Endoscopic Approach"
S3217XA,"Revision of Synthetic Substitute in Right Thumb Phalanx, Percutaneous Endoscopic Approach"
Z1831,"Insertion of External Fixation Device into Left Mandible, Percutaneous Endoscopic Approach"
Y92002,"Transfer Optic Nerve to Accessory Nerve, Open Approach"
S65411,Coordination/Dexterity Treatment of Integumentary System - Lower Back / Lower Extremity
T24799S,Dressing Techniques Treatment using Orthosis
S91124A,"Supplement Hepatic Vein with Autologous Tissue Substitute, Open Approach"
T464X2,Low Dose Rate (LDR) Brachytherapy of Adrenal Glands using Palladium 103 (Pd-103)
E109,"Restriction of Abdominal Aorta, Bifurcation, with Branched or Fenestrated Intraluminal Device, One or Two Arteries, Percutaneous Approach"
S3902,Ultrasonography of Brain
I70744,"Destruction of Right Axillary Artery, Percutaneous Approach"
S72044M,"Drainage of Lung Lingula, Percutaneous Approach"
V324XXD,"Drainage of Left Thyroid Gland Lobe with Drainage Device, Open Approach"
S12121D,"Dilation of Intracranial Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach"
S63638S,"Excision of Left Elbow Region, Percutaneous Approach, Diagnostic"
W5909XA,"Removal of Nonautologous Tissue Substitute from Left Humeral Head, Percutaneous Approach"
S648X2S,"Revision of Radioactive Element in Face, Percutaneous Endoscopic Approach"
T34512S,"Insertion of Monitoring Device into Trachea, Via Natural or Artificial Opening Endoscopic"
S12251D,"Extirpation of Matter from Left Hypogastric Vein, Percutaneous Approach"
S0081,Beam Radiation of Spleen using Photons 1 - 10 MeV
S82263B,"Repair Eye in Products of Conception with Other Device, Via Natural or Artificial Opening Endoscopic"
S82002,"Dilation of Hymen, Via Natural or Artificial Opening Endoscopic"
J202,"Drainage of Right Thyroid Artery, Percutaneous Approach"
D0501,"Removal of Infusion Device from Right Metacarpophalangeal Joint, External Approach"
F141,"Reposition Left External Iliac Vein, Percutaneous Endoscopic Approach"
S92032G,"Drainage of Cervix with Drainage Device, Percutaneous Approach"
S52509G,"Introduction of Liquid Brachytherapy Radioisotope into Pleural Cavity, Via Natural or Artificial Opening"
S14124A,"Replacement of Right Radius with Synthetic Substitute, Open Approach"
S3135XS,"Insertion of Infusion Device into Inferior Vena Cava, Percutaneous Endoscopic Approach"
S22018D,"Revision of Spacer in Left Metatarsal-Tarsal Joint, External Approach"
T591X,"Dilation of Coronary Artery, Four or More Arteries with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach"
Y071,"Bypass Left Femoral Artery to Bilateral Femoral Arteries with Synthetic Substitute, Open Approach"
T23461D,"Drainage of Common Bile Duct with Drainage Device, Via Natural or Artificial Opening"
M8501,"Excision of Prepuce, Percutaneous Approach, Diagnostic"
S92501B,"Excision of Atrial Septum, Percutaneous Approach, Diagnostic"
Z717,"Removal of Autologous Tissue Substitute from Left Glenoid Cavity, Percutaneous Approach"
I6343,"Fusion of Right Acromioclavicular Joint with Synthetic Substitute, Percutaneous Approach"
M6100,"Excision of Upper Artery, Percutaneous Endoscopic Approach"
O46091,"Restriction of Right Internal Iliac Artery, Open Approach"
T83098D,"Revision of External Fixation Device in Right Patella, External Approach"
T63613A,"Insertion of Intraluminal Device into Right Face Vein, Percutaneous Endoscopic Approach"
S85312,"Alteration of Bilateral Breast, Open Approach"
T25599,"Excision of Right Knee Joint, Percutaneous Approach, Diagnostic"
S56821A,Fluoroscopy of Right Hand/Finger Joint using Low Osmolar Contrast
M0216,"Reposition Nasal Septum, Percutaneous Endoscopic Approach"
S25899D,"Repair Left Sacroiliac Joint, External Approach"
S8263XD,"Drainage of Left Lower Extremity, Open Approach, Diagnostic"
T46905D,"Drainage of Upper Jaw, Percutaneous Approach"
V4374XD,Computerized Tomography (CT Scan) of Liver using High Osmolar Contrast
H02026,"Transfer Back Subcutaneous Tissue and Fascia, Percutaneous Approach"
R29708,"Destruction of Upper Vein, Percutaneous Approach"
S66320S,"Insertion of Biventricular External Heart Assist System into Heart, Percutaneous Approach"
S61301D,"Replacement of Right Parotid Duct with Nonautologous Tissue Substitute, Open Approach"
S72051Q,"Dilation of Right External Carotid Artery with Drug-eluting Intraluminal Device, Open Approach"
C091,"Restriction of Left Greater Saphenous Vein with Extraluminal Device, Percutaneous Approach"
B5749,"Reposition Left Lacrimal Gland, Percutaneous Approach"
S52512B,"Repair Chest Subcutaneous Tissue and Fascia, Percutaneous Approach"
S2020,Home Management Treatment using Orthosis
M84363P,"Release Left Upper Leg Skin, External Approach"
S75999A,"Inspection of Cervicothoracic Vertebral Joint, External Approach"
S91201A,"Bypass Left Internal Iliac Artery to Bilateral Femoral Arteries with Autologous Arterial Tissue, Open Approach"
O8613,"Revision of Autologous Tissue Substitute in Upper Bursa and Ligament, Percutaneous Endoscopic Approach"
